#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
560,603,498,248,376,326,257,280,0
559,601,496,247,376,326,257,279,0
558,602,497,247,375,325,257,279,0
559,601,497,247,376,325,256,279,0
559,602,497,247,375,325,256,279,0
559,602,497,247,375,326,256,278,0
560,603,498,248,374,326,256,279,0
560,603,498,248,375,324,256,279,0
559,602,498,247,375,325,256,280,0
559,603,498,248,375,326,256,280,0
560,603,498,247,375,325,256,279,0
560,603,498,247,375,324,256,278,0
560,603,498,248,375,324,255,279,0
560,604,499,248,375,325,256,279,0
561,604,500,248,376,325,254,279,0
561,603,500,248,375,324,255,279,0
562,604,500,248,375,325,255,279,0
560,604,499,248,376,325,256,279,0
560,604,500,248,376,325,256,278,0
561,603,499,248,376,325,255,278,0
561,604,500,248,375,325,256,278,0
561,604,500,248,376,325,255,279,0
561,604,499,248,375,325,256,279,0
560,603,498,248,377,326,255,279,0
559,601,497,248,377,326,257,279,0
558,601,495,247,377,326,256,279,0
558,601,495,247,377,325,256,279,0
558,601,496,247,377,325,256,279,0
558,601,495,247,376,326,257,279,0
559,601,497,248,376,325,256,279,0
559,602,497,248,376,325,256,278,0
559,602,497,249,376,327,256,280,0
559,601,497,248,376,326,257,279,0
559,602,498,247,376,326,256,279,0
559,602,498,248,376,326,256,279,0
560,603,498,248,377,325,256,279,0
560,603,498,247,377,325,256,279,0
560,603,499,249,376,326,256,280,0
560,604,499,248,376,325,256,279,0
561,603,499,248,376,325,256,280,0
560,604,499,248,376,326,256,279,0
561,602,499,248,376,325,256,278,0
561,603,499,249,376,325,256,279,0
561,603,499,248,376,326,256,279,0
561,604,500,248,377,325,256,280,0
562,604,499,248,377,326,256,280,0
561,603,498,249,378,326,256,280,0
560,602,497,248,377,326,257,280,0
559,601,495,247,378,325,257,279,0
559,600,495,247,377,325,257,279,0
559,601,496,248,377,326,256,278,0
558,601,496,247,377,326,256,279,0
559,601,497,247,377,325,256,279,0
559,601,497,247,377,326,256,278,0
559,602,497,248,376,326,256,279,0
559,602,497,247,376,325,256,279,0
559,602,497,247,376,325,256,279,0
559,602,497,248,375,325,256,279,0
560,602,498,248,376,326,256,278,0
559,602,498,248,376,324,256,279,0
559,603,498,247,376,325,255,279,0
559,603,498,248,375,325,255,279,0
560,603,498,247,375,324,255,279,0
560,603,499,248,375,326,256,278,0
561,603,499,248,376,326,256,279,0
560,603,498,249,375,326,256,279,0
